epoch,accuracy,loss,val_accuracy,val_loss
0,0.7049999833106995,0.908872127532959,0.875,0.3016526997089386
1,0.8489999771118164,0.398394376039505,0.8600000143051147,0.3194054961204529
2,0.8820000290870667,0.29920288920402527,0.8700000047683716,0.3583381772041321
3,0.8970000147819519,0.2721283733844757,0.8025000095367432,0.5795788168907166
4,0.9120000004768372,0.2359899878501892,0.9049999713897705,0.2845391631126404
5,0.9300000071525574,0.19786740839481354,0.8324999809265137,0.5150642991065979
6,0.9390000104904175,0.16875270009040833,0.9049999713897705,0.3211418092250824
7,0.9480000138282776,0.1353968381881714,0.9024999737739563,0.31647589802742004
8,0.9570000171661377,0.10439851135015488,0.8962500095367432,0.37255582213401794
9,0.9610000252723694,0.10520506650209427,0.9087499976158142,0.347889244556427
